country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Parbhani,"Masoom Colony, Parbhani - MPCB","07-11-2024 05:00:00",19.265594,76.761463,OZONE,25,99,56
India,Puducherry,Puducherry,"Jawahar Nagar, Puducherry - PPCC","07-11-2024 05:00:00",11.9309,79.8027,OZONE,32,84,35
India,Punjab,Rupnagar,"Ratanpura, Rupnagar - Ambuja Cements","07-11-2024 05:00:00",31.0325454,76.5623046,CO,42,90,70
India,Rajasthan,Bhiwadi,"RIICO Ind. Area III, Bhiwadi - RSPCB","07-11-2024 05:00:00",28.194909,76.862296,OZONE,8,61,14
India,Mizoram,Aizawl,"Sikulpuikawn, Aizawl - Mizoram PCB","07-11-2024 05:00:00",23.7176342,92.7192841,OZONE,1,93,4
India,Nagaland,Kohima,"PWD Juction, Kohima - NPCB","07-11-2024 05:00:00",25.6635413,94.0989878,OZONE,7,16,9
India,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB","07-11-2024 05:00:00",26.9502929,75.730943,OZONE,10,54,12
India,Rajasthan,Jaisalmer,"Sadar Bazar, Jaisalmer - RSPCB","07-11-2024 05:00:00",26.912329,70.909168,OZONE,6,140,63
India,Rajasthan,Jaipur,"Mansarovar Sector-12, Jaipur - RSPCB","07-11-2024 05:00:00",26.843698,75.766894,OZONE,1,177,22
India,Odisha,Baripada,"Meher Colony, Baripada - OSPCB","07-11-2024 05:00:00",21.941841,86.728318,OZONE,20,106,36
India,Rajasthan,Hanumangarh,"Housing Board, Hanumangarh - RSPCB","07-11-2024 05:00:00",29.610750,74.283608,OZONE,NA,NA,NA
India,Odisha,Suakati,"OMC Colony, Suakati - OSPCB","07-11-2024 05:00:00",21.606865,85.510538,OZONE,4,104,30
India,Rajasthan,Sikar,"Radhakishan Pura, Sikar - RSPCB","07-11-2024 05:00:00",27.608912,75.153302,OZONE,4,99,8
India,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB","07-11-2024 05:00:00",17.349694,78.451437,OZONE,18,48,19
India,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB","07-11-2024 05:00:00",23.8175497,91.2726974,OZONE,4,64,4
India,Uttar_Pradesh,Agra,"Manoharpur, Agra - UPPCB","07-11-2024 05:00:00",27.23711,78.01936,OZONE,1,55,1
India,Rajasthan,Kota,"Shrinath Puram, Kota - RSPCB","07-11-2024 05:00:00",25.14389,75.821256,OZONE,16,56,25
India,TamilNadu,Cuddalore,"Semmandalam, Cuddalore - TNPCB","07-11-2024 05:00:00",11.7637683,79.7499835,OZONE,1,2,2
India,Rajasthan,Udaipur,"Ashok Nagar, Udaipur - RSPCB","07-11-2024 05:00:00",24.5886166,73.6321397,OZONE,5,84,13
India,TamilNadu,Chennai,"Manali Village, Chennai - TNPCB","07-11-2024 05:00:00",13.1662,80.2584,OZONE,31,52,39
India,TamilNadu,Nagapattinam,"Velippalayam, Nagapattinam - TNPCB","07-11-2024 05:00:00",10.798548,79.838212,OZONE,1,38,35
India,TamilNadu,Chennai,"Manali, Chennai - CPCB","07-11-2024 05:00:00",13.164544,80.26285,OZONE,8,47,27
India,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB","07-11-2024 05:00:00",17.4559458,78.4332152,OZONE,10,15,13
India,Uttar_Pradesh,Meerut,"Pallavpuram Phase 2, Meerut - UPPCB","07-11-2024 05:00:00",29.063510,77.709723,OZONE,6,76,18
India,Uttar_Pradesh,Khurja,"Kalindi Kunj, Khurja - UPPCB","07-11-2024 05:00:00",28.2348927,77.8683002,OZONE,3,10,3
India,Uttar_Pradesh,Noida,"Sector-116, Noida - UPPCB","07-11-2024 05:00:00",28.569230,77.393848,OZONE,4,280,10
